,state,December 2017 YTD,December 2016 YTD,December 2015 YTD,December 2014 YTD,December 2013 YTD,December 2012 YTD,December 2011 YTD,December 2010 YTD,December 2009 YTD,December 2008 YTD
0,CT,34108,36497,37649,33677,35444,36118,33603,33350.0,35444,36118
1,ME,11192,11514,12157,13249,14079,14429,15778,17019.0,14079,14429
2,MA,31456,31955,32291,31119,33773,36198,38371,42805.0,33773,36198
3,NH,17494,19282,20162,19538,19784,19264,20141,22196.0,19784,19264
4,RI,5244,6565,7001,6282,6295,8309,8771,7739.0,6295,8309
5,VT,2077,1911,2091,7031,6921,6570,6771,6620.0,6921,6570
6,NJ,74541,77611,75193,68051,64848,65263,64456,65682.0,64848,65263
7,NY,127880,134417,139731,137122,135337,135768,137346,136962.0,135337,135768
8,PA,200210,215067,215871,221058,227683,223420,228239,229752.0,227683,223420
9,IL,181911,187289,194103,202144,202891,197565,198989,201352.0,202891,197565
10,IN,100492,101759,103840,115395,110378,114696,120761,125181.0,110378,114696
11,MI,112367,112122,114160,106817,104970,108166,109408,111551.0,104970,108166
12,OH,118974,118922,122125,134476,136702,129746,135652,143598.0,136702,129746
13,WI,65247,64967,66679,61065,65587,63743,64105,64314.0,65587,63743
14,IA,56478,54393,57172,56853,56876,56675,56938,57509.0,56876,56675
15,KS,51366,47600,45781,49728,48645,44425,45565,47924.0,48645,44425
16,MN,59701,59479,57499,56998,51263,52194,53573,53670.0,51263,52194
17,MO,83801,78612,83610,87834,92211,91804,95088,92313.0,92211,91804
18,NE,35937,36525,39291,39431,37197,34217,34950,36630.0,37197,34217
19,ND,40931,37856,36918,36463,35361,36125,34940,34740.0,35361,36125
20,SD,10464,11524,9734,10995,10358,12034,12056,10050.0,10358,12034
21,DE,7662,8731,7729,7704,7616,8634,6548,5628.0,7616,8634
22,DC,67,76,69,68,60,72,130,200.0,60,72
23,FL,237821,238262,237338,230016,219725,221096,223985,229096.0,219725,221096
24,GA,128979,133380,128259,125837,120796,122306,125094,137577.0,120796,122306
25,MD,34132,37167,36390,37834,35487,37810,41913,43607.0,35487,37810
26,NC,130689,130779,128944,128144,124922,116682,118126,128678.0,124922,116682
27,SC,93467,96986,96548,97158,94919,96756,103246,104153.0,94919,96756
28,VA,93500,92555,84351,77137,77185,70739,66994,72966.0,77185,70739
29,WV,73410,75943,72229,81060,75927,73413,79080,80789.0,75927,73413
30,AL,139194,142385,152967,149340,150408,152879,157169,152151.0,150408,152879
31,KY,72116,80274,83232,90896,89935,89950,98184,98218.0,89935,89950
32,MS,60574,62881,64813,55127,52890,54584,51617,54487.0,52890,54584
33,TN,78103,79341,75417,79507,78669,77724,80918,82349.0,78669,77724
34,AR,62109,60445,55682,61592,60494,65006,61426,61000.0,60494,65006
35,LA,96978,107269,107643,104229,101379,103408,105263,102885.0,101379,103408
36,OK,76545,78655,76063,70156,73576,77897,75148,72251.0,73576,77897
37,TX,452235,454048,450604,437630,433526,429813,437043,411695.0,433526,429813
38,AZ,105833,108763,113351,112257,110127,110905,108295,111751.0,110127,110905
39,CO,54318,54418,52515,53847,53396,52557,51392,50721.0,53396,52557
40,ID,15926,15661,15170,15184,15742,15499,15968,12025.0,15742,15499
41,MT,28269,27784,29546,30258,27573,27805,29911,29791.0,27573,27805
42,NV,37967,39787,38840,36001,36494,35173,32352,35146.0,36494,35173
43,NM,33566,32912,32858,32306,36042,36636,38380,36252.0,36042,36636
44,UT,36732,38134,42044,43785,42823,39403,40522,42249.0,42823,39403
45,WY,46826,46657,48932,49696,52395,49589,46613,48119.0,52395,49589
46,CA,206107,196963,197994,198808,199998,199519,199634,204126.0,199998,199519
47,OR,58516,60182,58857,60120,60165,60933,60568,55127.0,60165,60933
48,WA,115474,114087,109933,116334,113321,116835,117481,103473.0,113321,116835
49,AK,5971,6335,6073,6043,6203,6946,6851,6760.0,6203,6946
50,HI,9848,9949,9930,10204,9814,10469,10382,10836.0,9814,10469
